Company_ID,Net_worth_to_Assets,Retained_Earnings_to_Total_Assets,Working_Capital_to_Total_Assets,Working_Capital_to_Equity,Equity_to_Longterm_Liability,Current_Liabilities_to_Equity,Liability_to_Equity,Current_Liability_to_Current_Assets,Borrowing_dependency,Debt_ratio_percentage,Persistent_EPS,Per_Share_Net_profit_pre_tax,Operating_Profit_Per_Share,Tax_rate,Operating_Gross_Margin
id_0001,0.792423739,0.903224771,0.672775292,0.721274552,0.126549488,0.339077007,0.290201893,0.118250477,0.390284354,0.207576261,0.169140588,0.13873616,0.095920528,0,0.601457213
id_0002,0.828823654,0.931065218,0.751110917,0.731975289,0.120916106,0.329740148,0.28384598,0.047775282,0.37676002,0.171176346,0.208943935,0.169917903,0.09372201,0,0.610235086
id_0003,0.792484204,0.909903362,0.829501915,0.742728638,0.117922319,0.334776851,0.290188533,0.025346489,0.37909292,0.207515796,0.180580505,0.142803344,0.092337758,0,0.601450006
id_0004,0.848535236,0.906902159,0.72575418,0.729824909,0.120760455,0.331508979,0.281721193,0.067249617,0.379742688,0.151464764,0.193722227,0.148602847,0.077762397,0,0.583541129
id_0005,0.893490945,0.913850197,0.751822452,0.731999641,0.110933234,0.330726319,0.27851379,0.047725372,0.375025443,0.106509055,0.212536636,0.168411539,0.096897647,0,0.598783494
id_0006,0.819572513,0.903041267,0.686728646,0.725201639,0.112917172,0.335534372,0.2850871,0.099521933,0.381448187,0.180427487,0.174435095,0.138811478,0.078088104,0,0.590171378
id_0007,0.783898177,0.911441408,0.729416462,0.728730796,0.120561366,0.337392013,0.292504124,0.060765125,0.384998982,0.216101823,0.161482462,0.128944792,0.099910431,0,0.619949841
id_0008,0.891797926,0.935449309,0.797005214,0.73494641,0.114507969,0.329803726,0.278607306,0.030201105,0.374219105,0.108202074,0.225205635,0.180462454,0.104796026,0.157607045,0.601738278
id_0009,0.941409439,0.935200209,0.813737523,0.735182055,0.110933234,0.328092756,0.276422514,0.021710461,0.370253398,0.058590561,0.218398412,0.173156587,0.095187688,0.00587104,0.603612044
id_0010,0.878707259,0.938289897,0.825695871,0.737180246,0.115498978,0.330409488,0.279387519,0.025494302,0.37450876,0.121292741,0.217831143,0.176621225,0.109844475,0.392448628,0.599208694
id_0011,0.896423497,0.942828956,0.751204343,0.731958968,0.120942627,0.327484654,0.278356432,0.047166348,0.374179962,0.103576503,0.21896568,0.178579498,0.096490514,0,0.614025858
id_0012,0.905614173,0.932955215,0.769113889,0.733045299,0.116458578,0.328042001,0.277892082,0.033711602,0.373113046,0.094385827,0.20468942,0.172478723,0.096001954,0,0.623711786
id_0013,0.855337546,0.930139635,0.760000222,0.732681616,0.116955695,0.331114215,0.281113384,0.04351399,0.377306898,0.144662454,0.219343859,0.17428636,0.104877453,0.185241421,0.608130702
id_0014,0.89343048,0.930763203,0.791909627,0.734591205,0.11357108,0.329035251,0.278517753,0.028901672,0.37315107,0.10656952,0.212914815,0.168863448,0.096001954,0,0.600577985
id_0015,0.910360674,0.940251658,0.802390919,0.734995669,0.119471451,0.327227479,0.277667685,0.015553133,0.373692357,0.089639326,0.226434717,0.178880771,0.103167495,0,0.604685856
id_0016,0.900928137,0.93354091,0.791990661,0.734495149,0.1184197,0.328300316,0.278123543,0.025812849,0.373544733,0.099071863,0.223787463,0.182420728,0.110333035,0.258730641,0.621773159
id_0017,0.938718747,0.942018219,0.752032218,0.731993725,0.113682405,0.327470954,0.276517862,0.04629123,0.372267566,0.061281253,0.220194762,0.176169315,0.095757674,0.029456423,0.606523588
id_0018,0.921274602,0.948858907,0.816363502,0.73563062,0.115982988,0.327786671,0.277189778,0.018156638,0.372724975,0.078725398,0.233052851,0.189274686,0.114160085,0.217430914,0.618450828
id_0019,0.858663119,0.935009282,0.766580251,0.733185251,0.122290519,0.330593494,0.280838655,0.040083663,0.378709322,0.141336881,0.220005673,0.176018679,0.102108949,0.09555623,0.598343879
id_0020,0.922514134,0.933563971,0.809073201,0.735200728,0.111816398,0.328140542,0.277138799,0.021936861,0.371230845,0.077485866,0.217452964,0.174512315,0.102760362,0.441643891,0.63625881
id_0021,0.903649061,0.93976514,0.789153248,0.734286174,0.110933234,0.326672008,0.27798794,0.010940728,0.369637181,0.096350939,0.219343859,0.176169315,0.101213256,0.261058812,0.622176739
id_0022,0.899265351,0.937920805,0.847345862,0.737989359,0.110933234,0.328924459,0.278208025,0.018612943,0.371209596,0.100734649,0.225394724,0.181667545,0.107401677,0.208928029,0.607446057
id_0023,0.853493364,0.936223802,0.764144883,0.73302973,0.124068109,0.330235018,0.281274204,0.040394784,0.377012769,0.146506636,0.223220195,0.177449725,0.110007328,0.005567365,0.618933683
id_0024,0.806965565,0.938561233,0.734030367,0.729973923,0.122590321,0.337398696,0.287134337,0.055242675,0.387275964,0.193034435,0.21896568,0.173834451,0.109193062,0.417653609,0.6095072
id_0025,0.805484173,0.933883562,0.745811316,0.73135572,0.126350473,0.337432936,0.287405943,0.050170651,0.388057698,0.194515827,0.221896568,0.178278226,0.113834378,0.306913655,0.602956226
id_0026,0.853251504,0.923742746,0.752991982,0.732118864,0.124437102,0.328518642,0.281294868,0.04550392,0.377159275,0.146748496,0.203554883,0.160653762,0.093884863,0,0.611762925
id_0027,0.907942075,0.942045501,0.7469121,0.73169839,0.113637687,0.328713957,0.277780652,0.051481376,0.372166913,0.092057925,0.224260187,0.179633953,0.108378797,0.231096265,0.626544055
id_0028,0.96390241,0.943096297,0.839002275,0.736094529,0.110933234,0.327333227,0.275704458,0.013393307,0.369875392,0.03609759,0.228420157,0.185960684,0.111554434,0.213786821,0.609737817
id_0029,0.910421139,0.937685848,0.819444466,0.736007061,0.114779314,0.328054101,0.27766442,0.018802183,0.3719712,0.089578861,0.220572941,0.178428862,0.097141927,0.196376151,0.60202655
id_0030,0.780391208,0.908947698,0.703730256,0.724531115,0.113571113,0.346198231,0.293599485,0.065815853,0.392590414,0.219608792,0.177838707,0.139639979,0.098526179,0,0.599115006
id_0031,0.771109835,0.868460717,0.673325141,0.718087877,0.130978633,0.342348548,0.297038121,0.12488271,0.396528161,0.228890165,0.202514891,0.165549446,0.091930625,0,0.599987028
id_0032,0.791758624,0.908330179,0.697045111,0.724543977,0.114574876,0.338921756,0.290364861,0.082666072,0.38402489,0.208241376,0.21102392,0.169993221,0.102434655,0,0.618868822
id_0033,0.883151435,0.93747354,0.785427201,0.734300444,0.116431127,0.330020694,0.279110823,0.033441832,0.37558015,0.116848565,0.225394724,0.179257362,0.103248921,0.077032088,0.601168942
id_0034,0.93766061,0.937101764,0.799890751,0.734506997,0.110933234,0.328288508,0.276555324,0.025690359,0.370535225,0.06233939,0.218209322,0.173081268,0.09323345,0.039983804,0.603475115
id_0035,0.875895637,0.934730337,0.826180808,0.737300793,0.113858197,0.331087958,0.279572352,0.027009776,0.37531398,0.124104363,0.218682046,0.173608496,0.108215943,0.093835408,0.599107799
id_0036,0.877377029,0.938233789,0.753131107,0.732100099,0.126893762,0.327391339,0.279473638,0.043569973,0.376271296,0.122622971,0.213576629,0.17767568,0.096083381,0,0.614278096
