ID,Net_Income_to_Total_Assets,ROA_before_interest_percent_after_tax,Net_profit_before_tax_to_Paid_in_capital,Net_Income_to_Stockholders_Equity,Operating_profit_Paid_in_capital,Total_Asset_Turnover,Total_expense_to_Assets
id_6392,0.832556883,0.596162233,0.188040118,0.841886317,0.115687137,0.020989505,0
id_2514,0.836447263,0.646696468,0.198997059,0.841997933,0.116485091,0.044977511,0.000852812
id_5912,0.812563975,0.564816834,0.18748209,0.840936861,0.098205416,0.065967016,0.000895453
id_4407,0.879228024,0.694614043,0.274798281,0.844132567,0.102048626,0.014992504,0.001032347
id_4296,0.898279886,0.736589621,0.291516477,0.844970555,0.101845067,0.011994003,0.001044206
id_4869,0.805122774,0.55936546,0.179202172,0.840957413,0.105069455,0.049475262,0.001217809
id_6118,0.812348829,0.55266027,0.181570017,0.841006834,0.096129106,0.067466267,0.001367508
id_5709,0.811957101,0.560946358,0.183296886,0.840901573,0.097676161,0.086956522,0.001686589
id_2488,0.799725714,0.537178369,0.171902571,0.84027213,0.097659876,0.004497751,0.0018201
id_2529,0.820325894,0.574356738,0.193386622,0.841569974,0.107145765,0.010494753,0.001834777
id_3533,1,0.954535543,0.370613076,0.850589009,0.12753432,0.056971514,0.001835809
id_2474,0.872834407,0.673408199,0.225714501,0.844316065,0.106649079,0.014992504,0.001857617
id_2515,0.798928285,0.535815526,0.171495362,0.840223023,0.097749442,0.004497751,0.001880188
id_2351,0.80118342,0.540231138,0.171955358,0.840475895,0.094248213,0.049475262,0.001990158
id_2502,0.809729581,0.553914086,0.177286781,0.840762941,0.099190646,0.032983508,0.002090608
id_3683,0.982879253,0.984736154,0.508521228,0.849561855,0.131418242,0.031484258,0.002091733
id_2476,0.808839186,0.552387702,0.177015308,0.840718642,0.099125507,0.031484258,0.002139512
id_2259,0.795586202,0.530091583,0.168637358,0.840000463,0.092171902,0.004497751,0.002156583
id_2475,0.884811438,0.705298735,0.252085061,0.845404884,0.101437947,0.011994003,0.002193047
id_2491,0.766285396,0.474269516,0.156805671,0.83865161,0.082075333,0.00149925,0.002265579
id_2494,0.839529359,0.609136502,0.210376291,0.842996532,0.099573339,0.112443778,0.002292463
id_2521,0.859853126,0.646096816,0.237154061,0.844686821,0.124179654,0.113943028,0.002335456
id_2213,0.799254595,0.536742259,0.172784858,0.84021962,0.08924064,0.016491754,0.002368716
id_3741,0.830900157,0.60384867,0.199457055,0.842909729,0.126711938,0.101949025,0.002659026
id_2178,0.794015189,0.527474924,0.167242289,0.839838749,0.094622763,0.004497751,0.002778117
id_1291,0.823609704,0.583078936,0.17844054,0.841844258,0.095217158,0.03898051,0.00280038
id_2500,0.857530903,0.635030528,0.209976623,0.843386455,0.106697933,0.013493253,0.002818151
id_2074,0.81865261,0.574847362,0.196998718,0.842432376,0.124993893,0.059970015,0.002836969
id_2399,0.796300315,0.531999564,0.16956489,0.840070272,0.094402918,0.058470765,0.003016551
id_1407,0.817867968,0.579971653,0.180159867,0.841159742,0.100094452,0.049475262,0.003092996
id_4186,0.882677678,0.722034453,0.270914712,0.845158545,0.100192161,0.014992504,0.003096411
id_2388,0.803030893,0.550370693,0.170266194,0.840688012,0.095103164,0.031484258,0.003151081
id_2518,0.821468204,0.574411252,0.180521831,0.841255029,0.107634309,0.026986507,0.003189166
id_3910,0.799285897,0.537232883,0.170462258,0.840235347,0.093254841,0.050974513,0.003199698
id_3513,0.832858821,0.614751417,0.208913355,0.842987656,0.136759653,0.053973013,0.003248308
id_2492,0.867317959,0.662614479,0.213128723,0.844008428,0.096234957,0.005997001,0.00331654
id_2139,0.82833297,0.596543829,0.210813664,0.844380948,0.124456495,0.07946027,0.003323988
id_5513,0.818886569,0.574792848,0.18632079,0.841716723,0.106347811,0.154422789,0.003341021
id_3980,0.786305233,0.514773223,0.162212503,0.839503859,0.088247268,0.046476762,0.00335324
id_3900,0.817343189,0.568196686,0.188364377,0.84192965,0.116102399,0.098950525,0.003383309
id_3586,0.832845084,0.607719145,0.192172536,0.842653976,0.118878955,0.106446777,0.003522786
id_2916,0.809593746,0.556203663,0.174489103,0.840842054,0.093686388,0.00149925,0.003531743
id_2308,0.80412442,0.545573485,0.176231053,0.840947582,0.102016057,0.022488756,0.003535459
id_6269,0.829084115,0.590056694,0.200120655,0.842172131,0.089191786,0.032983508,0.003598937
id_2433,0.809981698,0.561055386,0.185182113,0.841827263,0.113447978,0.03898051,0.003682917
id_2405,0.806001904,0.552115133,0.177203831,0.840924338,0.099833895,0.008995502,0.003704799
id_0341,0.800896817,0.54143044,0.171879949,0.840525539,0.094288925,0.011994003,0.003728849
id_4902,0.837079545,0.612243785,0.238187165,0.84311028,0.106152393,0.122938531,0.003750795
id_3368,0.817685047,0.576264719,0.187761104,0.841885404,0.113789959,0.044977511,0.003785242
id_2211,0.792760141,0.525403402,0.166292135,0.839703051,0.091113391,0.005997001,0.003824095
id_3420,0.851408725,0.645442652,0.236686524,0.845136431,0.168246291,0.098950525,0.003827659
id_2053,0.797663283,0.538268644,0.171238971,0.840263737,0.095583565,0.044977511,0.0038534
id_1399,0.809760806,0.559310946,0.171932735,0.840960211,0.095575423,0.010494753,0.00386136
id_5019,0.810024841,0.57015918,0.189570922,0.841484744,0.105313726,0.037481259,0.003861926
id_2519,0.90715102,0.752998256,0.26467838,0.846445,0.096984057,0.005997001,0.003875182
id_2085,0.82706643,0.592564326,0.2074655,0.844062416,0.116305959,0.061469265,0.003875221
id_2208,0.811196659,0.567106411,0.180031672,0.843357644,0.107780872,0.056971514,0.003892522
id_2128,0.799563226,0.536142608,0.174157303,0.840372587,0.103107138,0.019490255,0.003894266
id_2156,0.796315229,0.53368949,0.169542267,0.840085104,0.095290439,0.037481259,0.00393624
id_2498,0.895883129,0.735717401,0.242198929,0.846156214,0.103009429,0.010494753,0.003962653
id_1184,0.816222748,0.569068905,0.176412035,0.841238734,0.09944306,0.07946027,0.003969567
id_4448,0.794232393,0.527692979,0.167197044,0.839796505,0.09083655,0.00149925,0.004011187
id_3991,0.809323553,0.555331444,0.194751527,0.840751156,0.099280212,0.013493253,0.004047398
id_2412,0.801638528,0.54361099,0.172294699,0.840477288,0.093246698,0,0.004097944
id_2434,0.828537021,0.586894898,0.225722042,0.843923569,0.158939535,0.04197901,0.004134949
id_3049,0.829419967,0.603139991,0.208822864,0.843089368,0.108700962,0.061469265,0.004175186
id_2525,0.811268556,0.557402966,0.178840208,0.841000547,0.100705131,0.010494753,0.004222429
id_2162,0.793684606,0.52785652,0.166872785,0.839777663,0.092798867,0.013493253,0.0042925
id_2484,0.850014141,0.627998256,0.199766232,0.84309973,0.105981403,0.04047976,0.00429253
id_4763,0.837062608,0.616168775,0.224228942,0.843079349,0.125531291,0.073463268,0.004295597
id_4000,0.779546403,0.505287833,0.147899857,0.837492683,0.075504421,0.031484258,0.004304393
id_4858,0.838924847,0.651057567,0.210006787,0.843102363,0.137060921,0.218890555,0.004305121
id_2345,0.793176261,0.526875273,0.165643617,0.83956297,0.093556109,0.007496252,0.004319901
id_0294,0.80255768,0.545627998,0.172626499,0.840701261,0.094736756,0.011994003,0.004354622
id_3182,0.821521204,0.608700392,0.187693236,0.842311948,0.115418438,0.178410795,0.004385479
id_2386,0.823483922,0.581116441,0.222381419,0.843815119,0.156456104,0.052473763,0.004391815
id_2256,0.841490794,0.62134758,0.23084232,0.847190832,0.156187405,0.083958021,0.004406306
id_2253,0.796947496,0.532871784,0.170929794,0.840148541,0.095990685,0.04047976,0.00440823
id_2337,0.820814343,0.581661579,0.21260086,0.844314378,0.142467471,0.050974513,0.004423175
id_2365,0.83165465,0.608100741,0.252243421,0.846037656,0.181485824,0.07946027,0.004434406
id_6731,0.803154641,0.54361099,0.173719931,0.840526756,0.096560653,0.122938531,0.004456453
id_3440,0.830184618,0.599433057,0.193703341,0.844321911,0.121899783,0.107946027,0.004493971
id_1136,0.803332235,0.545137375,0.172483221,0.840468814,0.098970801,0.086956522,0.004506995
id_2298,0.798160554,0.534616223,0.169783576,0.84015342,0.094785611,0.008995502,0.004509986
id_2297,0.793407321,0.526439163,0.168260312,0.839921729,0.09403651,0.004497751,0.004511405
id_6110,0.821273313,0.592673354,0.194517759,0.841441106,0.092807009,0.005997001,0.004603816
id_6590,0.81808687,0.571522024,0.19311515,0.84170213,0.099467487,0.04197901,0.004610489
id_4895,0.81242835,0.556530746,0.185310308,0.841068297,0.106217532,0.055472264,0.004631161
id_6707,0.832485421,0.597034453,0.218068019,0.842391505,0.136197828,0.094452774,0.004638077
id_2420,0.80261911,0.545191888,0.190430586,0.841322219,0.12392724,0.032983508,0.004662514
id_0519,0.811161259,0.557184911,0.173305181,0.840829685,0.094020226,0.005997001,0.004687581
id_3843,0.781044422,0.488715656,0.136211447,0.833213064,0.061084241,0.005997001,0.004688205
id_4385,0.82148615,0.578826864,0.211484805,0.842520218,0.125979123,0.322338831,0.004704403
id_3056,0.860477864,0.644406891,0.210723173,0.844190783,0.141873076,0.298350825,0.00470671
id_4438,0.860566934,0.667793284,0.328678079,0.843539004,0.254922077,0.205397301,0.004715044
id_2997,0.797920741,0.534452682,0.169843903,0.840139922,0.095648705,0.008995502,0.004731424
id_2462,0.801900982,0.541103358,0.173697308,0.840490629,0.098987086,0.013493253,0.004743681
id_3600,0.809147619,0.556639773,0.178063494,0.84088318,0.095290439,0.062968516,0.004773465
id_5850,0.826944164,0.590056694,0.218331951,0.84264624,0.121191395,0.505247376,0.004812076
id_0342,0.794993939,0.529873528,0.168365885,0.839975821,0.093816666,0.095952024,0.004823036
id_1591,0.795983639,0.533471435,0.168426212,0.840042105,0.094435488,0.017991004,0.004825555
id_2094,0.791779904,0.525730484,0.163924289,0.839452052,0.093205986,0.008995502,0.004826101
id_2176,0.790643216,0.522350632,0.166540985,0.839681991,0.09250574,0.049475262,0.004826469
id_3822,0.822216414,0.575937636,0.193763668,0.84143935,0.122396469,0.052473763,0.004876644
id_1692,0.797201339,0.533144352,0.173192067,0.84056858,0.098987086,0.808095952,0.004876772
id_1151,0.801944292,0.54448321,0.174134681,0.84041695,0.099263928,0.140929535,0.004880128
id_3973,0.765407068,0.486426079,0.14718347,0.836584395,0.075439282,0.043478261,0.004883797
id_2302,0.799088618,0.53646969,0.171759294,0.840338628,0.096601365,0.052473763,0.004891717
id_6260,0.821358509,0.571958133,0.183289345,0.841520559,0.101812497,0.044977511,0.00489277
id_4318,0.818699848,0.575828609,0.197240027,0.841993037,0.114050515,0.166416792,0.004902441
id_6453,0.813533696,0.563781073,0.185498831,0.841377538,0.099166219,0.056971514,0.004921665
id_3929,0.834047715,0.600577846,0.190988613,0.842143803,0.11828456,0.112443778,0.004947415
id_2501,0.874161234,0.684419974,0.265281653,0.845766792,0.104401778,0.013493253,0.004977073
id_2353,0.804895352,0.546282163,0.173652062,0.840719862,0.100241015,0.034482759,0.005000063
id_2189,0.813745577,0.560619276,0.189578463,0.842125265,0.116143111,0.055472264,0.005007431
id_2874,0.82671873,0.584114697,0.183387377,0.841591934,0.103253701,0.058470765,0.005044931
id_2461,0.794576714,0.528837767,0.167657039,0.839928665,0.094525054,0.002998501,0.005073917
id_5879,0.864593966,0.694614043,0.317012292,0.843764737,0.238295308,0.15892054,0.005077384
id_4061,0.801899861,0.543338421,0.172980921,0.840557202,0.09869396,0.070464768,0.005080786
id_5095,0.808266827,0.551515482,0.173410753,0.840787294,0.094183074,0.011994003,0.005081296
id_6059,0.829310439,0.585750109,0.210934319,0.842283658,0.115214878,0.296851574,0.005083879
id_2396,0.80441645,0.546990842,0.172701908,0.840570507,0.097928575,0.068965517,0.005088611
id_3566,0.853302155,0.64527911,0.250222457,0.845284717,0.184685785,0.107946027,0.005091287
id_2227,0.796858589,0.535052333,0.16948194,0.840126105,0.095982543,0.04197901,0.005095977
id_2336,0.814572632,0.567706062,0.187610286,0.842339737,0.110687707,0.062968516,0.005103426
id_2362,0.814540245,0.570104666,0.220790287,0.843977093,0.150740144,0.035982009,0.005112811
id_2372,0.807053529,0.558275185,0.200739009,0.841932549,0.12987933,0.070464768,0.005117932
id_6013,0.853509415,0.649040558,0.198989518,0.843414458,0.099516342,0.131934033,0.005127011
id_2510,0.888738451,0.707806367,0.234582611,0.845201079,0.108757959,0.03898051,0.005127551
id_1152,0.823652585,0.579372002,0.179141845,0.84156899,0.09655251,0.232383808,0.005132967
id_2693,0.809642478,0.553205408,0.211213332,0.843446707,0.137899588,0.019490255,0.005143404
id_2228,0.803671001,0.545300916,0.172543549,0.840590402,0.098099565,0.020989505,0.005151748
id_2579,0.803629888,0.544156127,0.171457658,0.840452079,0.092579022,0.052473763,0.005159676
id_3998,0.808521472,0.551569996,0.175906794,0.840656961,0.102757015,0.056971514,0.005165401
id_3976,0.798303025,0.537723506,0.174617299,0.84027055,0.096690931,0.092953523,0.00517005
id_3664,0.798003769,0.539249891,0.171299299,0.840229463,0.102895435,0.049475262,0.005172466
id_3671,0.855760013,0.657708242,0.20911696,0.843324081,0.126866644,0.068965517,0.005174969
